	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	gpt2	1	abandon	obj_rel	expected	7.420535364188254	7.420535364188254
1	gpt2	1	abandon	obj_rel	unexpected	19.483760833740234	19.483760833740234
2	gpt2	2	abate	obj_rel	expected	10.88780426979065	10.88780426979065
3	gpt2	2	abate	obj_rel	unexpected	11.7669358253479	11.7669358253479
4	gpt2	3	abide	obj_rel	expected	11.160500049591064	11.160500049591064
5	gpt2	3	abide	obj_rel	unexpected	23.25286102294922	23.25286102294922
6	gpt2	4	abolish	obj_rel	expected	12.49474823474884	12.49474823474884
7	gpt2	4	abolish	obj_rel	unexpected	22.939001083374023	22.939001083374023
8	gpt2	5	absorb	obj_rel	expected	23.128955841064453	23.128955841064453
9	gpt2	5	absorb	obj_rel	unexpected	22.21194076538086	22.21194076538086
10	gpt2	6	abuse	obj_rel	expected	16.910966873168945	16.910966873168945
11	gpt2	6	abuse	obj_rel	unexpected	14.389002799987791	14.389002799987791
12	gpt2	7	accede	obj_rel	expected	13.095987319946289	13.095987319946289
13	gpt2	7	accede	obj_rel	unexpected	12.808294296264648	12.808294296264648
14	gpt2	8	accelerate	obj_rel	expected	10.2809077501297	10.2809077501297
15	gpt2	8	accelerate	obj_rel	unexpected	20.62074089050293	20.62074089050293
16	gpt2	9	accept	obj_rel	expected	16.904462814331055	16.904462814331055
17	gpt2	9	accept	obj_rel	unexpected	16.749771118164062	16.749771118164062
18	gpt2	10	access	obj_rel	expected	12.189859390258789	12.189859390258789
19	gpt2	10	access	obj_rel	unexpected	13.393902778625488	13.393902778625488
20	gpt2	11	acclaim	obj_rel	expected	13.197412014007568	13.197412014007568
21	gpt2	11	acclaim	obj_rel	unexpected	18.42933464050293	18.42933464050293
22	gpt2	12	accommodate	obj_rel	expected	10.584064185619354	10.584064185619354
23	gpt2	12	accommodate	obj_rel	unexpected	20.530141830444336	20.530141830444336
24	gpt2	13	accomodate	obj_rel	expected	7.240175130194984	7.240175130194984
25	gpt2	13	accomodate	obj_rel	unexpected	6.9977978490060195	6.9977978490060195
26	gpt2	14	accompany	obj_rel	expected	18.7382755279541	18.7382755279541
27	gpt2	14	accompany	obj_rel	unexpected	19.98870277404785	19.98870277404785
28	gpt2	15	accomplish	obj_rel	expected	9.507190354168415	9.507190354168415
29	gpt2	15	accomplish	obj_rel	unexpected	19.33819580078125	19.33819580078125
30	gpt2	16	accord	obj_rel	expected	9.429085850715637	9.429085850715637
31	gpt2	16	accord	obj_rel	unexpected	19.50337600708008	19.50337600708008
32	gpt2	17	account	obj_rel	expected	15.229104042053224	15.229104042053224
33	gpt2	17	account	obj_rel	unexpected	15.386975288391112	15.386975288391112
34	gpt2	18	accrue	obj_rel	expected	7.349354823430379	7.349354823430379
35	gpt2	18	accrue	obj_rel	unexpected	12.689629077911377	12.689629077911377
36	gpt2	19	accuse	obj_rel	expected	17.09986686706543	17.09986686706543
37	gpt2	19	accuse	obj_rel	unexpected	18.26369285583496	18.26369285583496
38	gpt2	20	achieve	obj_rel	expected	17.83900260925293	17.83900260925293
