	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	gpt2	1	abandon	simple	expected	5.9226890676654875	5.9226890676654875
1	gpt2	1	abandon	simple	unexpected	19.93914794921875	19.93914794921875
2	gpt2	2	abate	simple	expected	12.247273445129395	12.247273445129395
3	gpt2	2	abate	simple	unexpected	13.65613842010498	13.65613842010498
4	gpt2	3	abide	simple	expected	10.33772087097168	10.33772087097168
5	gpt2	3	abide	simple	unexpected	24.996736526489254	24.996736526489254
6	gpt2	4	abolish	simple	expected	11.930633828043938	11.930633828043938
7	gpt2	4	abolish	simple	unexpected	26.077062606811523	26.077062606811523
8	gpt2	5	absorb	simple	expected	20.53434562683105	20.53434562683105
9	gpt2	5	absorb	simple	unexpected	23.68703842163086	23.68703842163086
10	gpt2	6	abuse	simple	expected	19.58902931213379	19.58902931213379
11	gpt2	6	abuse	simple	unexpected	17.407155990600586	17.407155990600586
12	gpt2	7	accede	simple	expected	11.387847423553467	11.387847423553467
13	gpt2	7	accede	simple	unexpected	13.272072792053223	13.272072792053223
14	gpt2	8	accelerate	simple	expected	10.781705761328341	10.781705761328341
15	gpt2	8	accelerate	simple	unexpected	25.677106857299805	25.677106857299805
16	gpt2	9	accept	simple	expected	14.861295700073242	14.861295700073242
17	gpt2	9	accept	simple	unexpected	17.91861343383789	17.91861343383789
18	gpt2	10	access	simple	expected	10.457742691040039	10.457742691040039
19	gpt2	10	access	simple	unexpected	16.08136558532715	16.08136558532715
20	gpt2	11	acclaim	simple	expected	13.212379932403564	13.212379932403564
21	gpt2	11	acclaim	simple	unexpected	21.194969177246094	21.194969177246094
22	gpt2	12	accommodate	simple	expected	8.98568269610405	8.98568269610405
23	gpt2	12	accommodate	simple	unexpected	20.742738723754883	20.742738723754883
24	gpt2	13	accomodate	simple	expected	6.3282996392808855	6.3282996392808855
25	gpt2	13	accomodate	simple	unexpected	7.241714713629335	7.241714713629335
26	gpt2	14	accompany	simple	expected	19.19820785522461	19.19820785522461
27	gpt2	14	accompany	simple	unexpected	23.79399299621582	23.79399299621582
28	gpt2	15	accomplish	simple	expected	9.105275209993124	9.105275209993124
29	gpt2	15	accomplish	simple	unexpected	20.45903778076172	20.45903778076172
30	gpt2	16	accord	simple	expected	10.292370080947876	10.292370080947876
31	gpt2	16	accord	simple	unexpected	18.493757247924805	18.493757247924805
32	gpt2	17	account	simple	expected	14.59699821472168	14.59699821472168
33	gpt2	17	account	simple	unexpected	11.676265716552734	11.676265716552734
34	gpt2	18	accrue	simple	expected	7.4495344658692675	7.4495344658692675
35	gpt2	18	accrue	simple	unexpected	13.531318187713623	13.531318187713623
36	gpt2	19	accuse	simple	expected	18.206058502197266	18.206058502197266
